创梦创投,1
AA投资,6
LB投资(LB,2
锦普投资,1
清科华盖,1
鼎泰新材,1
东方汇富,2
起点创业营,12
启明星辰,2
迅雷,5
厚朴基金,2
凤博投资,1
博观资本,1
时代地产,1
光芒创投,1
蘑菇街,2
天使投资人邵根伙,1
松禾远望资本,2
永炜集团,1
新鸿基,1
三胞集团,2
上海鸿立,1
Binggo天使,1
互动娱乐,29
顶尖学院孵化器,1
虎童基金,4
引力创投,2
挚信资本,61
比科斯集团,1
六町资本,1
Sky,1
艾想投资,5
浙江永强,1
JOY,3
尚心资本Shining,1
汉理资本,5
酉金资本,1
东沃投资,1
联通,2
题梦资本,2
星芒基金,1
天奇阿米巴基金,17
康恩贝,2
集结号资本,23
华澍资本,5
同程旅游,1
磐谷创投,8
翰宇药业,1
高桐资本,1
高樟资本,8
上海德智和投资,1
前海梦创,1
天使汇,12
恒生电子,1
清控创投,2
龙翌资本,6
快快金融,1
1号生活,1
百合网,2
全通教育,5
博派资本,15
东方网力,1
Horizons,1
恒泰艾普,1
中广文影,2
联基金,2
星美国际,1
全美在线,1
浙商创投,19
东华软件,1
弘毅投资,3
老鹰基金EaglesFund,15
上海国际创投SIGVC,2
河南旺田集团,1
富海盛基,1
源码资本,40
台湾联合报集团,1
天津津报金控,1
吉成创投,3
杉杉创投,1
中南成长,26
中传集团,1
旷智投资,1
瑞银华信,1
鼎丰昌和投资,1
商投集团时空五星基金,2
找钢网,1
远景信息,1
昊君资本,1
金浦集团,2
京北投资-京北天使,12
兰德创投,1
北软天使基金,15
Chinaccelerator中国加速,13
晨兴资本,76
牛投股权,1
莱茵体育,3
新东方,12
网易,17
边锋游戏,2
重庆曲速资,2
万融资本,1
华图教育,1
墨池山创投,5
海航资本,9
雷曼凯兴体育文化产业投资基金,1
星空创联,1
AngelVest天使谷,9
盈动投资(盈开投资),36
一加投资,1
深圳市中汇影视,1
世纪佳缘,1
翌银基金,1
程铂瀚创投,1
商融资本,1
志成资本,16
联创策源,67
天业股份,1
稳国基金,7
广州全社通传媒广告,1
江苏高科技投资,4
唐人影视,1
弘励创投,1
北信源,2
仕优集资本,1
如川基金,1
和玉基金,11
欧擎欣锦(欧擎集团),2
众米资本,1
祖禾资本,2
广东融邦惠众,1
Maverick,1
汇智明资产管理,1
ClearVue锴明投资,5
天津安正路投资,2
广州科技风投,1
鸿沛资本,1
恩惟资本,1
早鸟基金,10
秉鸿资本,8
贝恩资本BainCapital,2
诺普信,2
克拉天使,1
升达林业,1
上海羽时资本,1
荣焘投资,1
太平洋网络,1
联新资本,1
龙渊网络,1
清华经管加速器,1
麒麟游戏,6
信成投资,1
上海丽人丽妆化妆品有限公司,1
祥峰投资Vertex,27
绿网天下,1
上海塔人网络,1
深圳高特佳,1
承阳资本,1
南京紫金科创,3
杭州欧丰科技有限公司,1
茶马古道资本,1
沃尔核材,1
贵阳朗玛信息,2
汉能投资,18
思科瑞新资本(思科资本),1
鸾大资本,1
杭州独角兽投资,1
国科嘉和,7
德盛实业,1
黑洞投资,3
Tiger老虎基金(中国),16
Kingsland,1
水木清华校友基金,7
VANGOO盘古创富,7
名信中国成长基金,2
中科创星,2
凯盈资本,4
安大略省教师退休基金Ontario,2
鑫游资本,4
国灏创投,3
骅威科技,2
Mr.I互联网创新基地,3
环球易购,2
博叡创投,2
飞马基金-飞马旅,11
